checkbox,priority,filename,accepted_aliases,size_bytes,size_human,sha256,role,satisfied_by_alternative,source_status,notes
,P5_PARENT_CHAIN_ALTERNATIVE,CRD_TO_QCD_INHERITANCE_ROADMAP_v1_2_QMO_LITE_20260825.zip,,54609,53.3 KiB,63c3067784a14c1c967717f0095b06dbe459c8e7d8107e2858de9731747a7522,Direct parent upload v1.2.,CRD - QCD Inheritance.zip (full v1.9),included,
,P5_PARENT_CHAIN_ALTERNATIVE,CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_3_QMO_LITE_20260825.zip,,422872,413.0 KiB,a9d1ebe32a8c0ad67d5e81b396176e3e77aeed8db3b65758423823a757155170,Direct parent upload v1.3.,CRD - QCD Inheritance.zip (full v1.9),included,
,P5_PARENT_CHAIN_ALTERNATIVE,CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_4_ROAD_HELICON_TYPED_20260826.zip,,11245051,10.7 MiB,3d1c5d43cc49652e2b524efeea071e1cecaad2de250a990d30d73bb55ff35567,Direct parent upload v1.4.,CRD - QCD Inheritance.zip (full v1.9),included,
,P5_PARENT_CHAIN_ALTERNATIVE,CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_5_RESIDUE_DESCENT_GATE_20260826.zip,,22515658,21.5 MiB,fbac13d91ec72b67a2f4c8860a29ac5d0094ca4a20b7e282c888dbb17e12d4c5,Direct parent upload v1.5.,CRD - QCD Inheritance.zip (full v1.9),included,
,P5_PARENT_CHAIN_ALTERNATIVE,CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_6_SU3_REDUCTION_NOGO_20260826.zip,,45033576,42.9 MiB,fbcecaa777315dc6a22b8b2a90c8c9aca7940f3752a329d31f0ec7407bf26b6c,Direct parent upload v1.6.,CRD - QCD Inheritance.zip (full v1.9),included,
,P5_PARENT_CHAIN_ALTERNATIVE,CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_7_CORRIDOR_CARRIER_BACKFILL_20260826.zip,,90083953,85.9 MiB,bc763993c69e41d4cb5bc8206a8f894dedf2f944e7f135ef0ba46a38b8079d58,Direct parent upload v1.7.,CRD - QCD Inheritance.zip (full v1.9),included,
,P5_PARENT_CHAIN_ALTERNATIVE,CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_8_TIMESHELL_Q_HANDOFF_BLOCKER_20260826.zip,,180181455,171.8 MiB,23421f5602bfabccdb898eafa9d5a5d7ce479cb59512a535c9efbb9d20d08385,Direct parent upload v1.8.,CRD - QCD Inheritance.zip (full v1.9),included,
,P5_PARENT_CHAIN_ALTERNATIVE,Archive(1).zip,,10899298,10.4 MiB,891da1f5c61a233e9d63fda7b5afc9ab37c560c8b32163447558721eae51d528,First recovered CRD-QCD umbrella/source package.,CRD - QCD Inheritance.zip (full v1.9),included,
,P3_FORMAL_LANGUAGE,MK Ultra.pdf,,67402112,64.3 MiB,cca59f71a28079fb6fc511df7b811a88b7e3fde97d84bc1f299c3f4b86b12e8d,"MK Ultra — THE TOME, volumes I-XVIII.",,included,
,P2_CORE_SOURCE,6 | Unified Rainbow Road Overlay.zip,6 | Unified Rainbow Road Overlay(1).zip,88305195,84.2 MiB,750530d37111b5133577aca9dca523d276cc9bbce586ceebb7250ad1b4234bed,Unified Rainbow Road overlay.,,included,
,P2_CORE_SOURCE,1.0 | QFT - GR BRIDGE.zip,1.0 | QFT - GR BRIDGE(1).zip,11931854,11.4 MiB,0d93f8a69782af74fee7309024c372290893ce4133d8009ac8ff284602439ecc,QFT-GR bridge and organizational-layer source.,,included,
,P2_CORE_SOURCE,Rainbow_road.zip,,10386950,9.9 MiB,c9dbe0b4ee3bb7643c35d3bad9929165de50ebc14f49bfdc93376223cd155c9b,Rainbow Road source.,,included,
,P2_CORE_SOURCE,CFP.pdf,,854970,834.9 KiB,752f8fe6d230dc23b1cc3c2c239fe11501379b7fbfec874372fa68b416833d76,Chiral Fractal Projection report.,,included,
,P2_CORE_SOURCE,CFP_exp.zip,,36704726,35.0 MiB,1346d283be75525caf916e4c0bef862365306cf0c9b6b4f54ac64ce5766481db,CFP experiment package.,,included,
,P2_CORE_SOURCE,FUSION OPERATOR | CANDIDATE.zip,FUSION OPERATOR | CANDIDATE(1).zip,15846569,15.1 MiB,1c58a310bfbc0ad7d362cf86aea1566944396238fdb9b84faf09017c247f9ff0,Fusion Operator candidate and recursive composition work.,,included,
,P2_CORE_SOURCE,Chirality Relaxation Dynamic .zip,,298642,291.6 KiB,ee4d4de38ced1b0c84136225be39797c047240bc2c5d827b341cc1785be398fa,CRD candidate relaxation mathematics.,,included,
,P2_CORE_SOURCE,Genesis Field.zip,,1004880,981.3 KiB,70842b96edf7e9ab742b0ada0ccf66202024ce18ece71dc45e50add1ae937728,Genesis Field mathematics and recursive evolution candidate.,,included,
,P2_CORE_SOURCE,3 | Genesis Sandbox.zip,,27332,26.7 KiB,f407deca8422b330d4685b44e1b5d8a34d16f8d8b379cdec102aa63b6cd4e226,Genesis Field sandbox and 4x4x4 fine verifier.,,included,
,P3_FORMAL_LANGUAGE,Resolution Readout.zip,Resolution Readout(2).zip | Resolution & Readout.zip,327280,319.6 KiB,b39d9d036ff1b856ade54fe48d5964812d174f0f531ea696e9526bb0792e9aab,Astraeus mathematics reservoir.,,included,
,P3_FORMAL_LANGUAGE,Holonomy and Chirality.zip,Holonomy and Chirality(2).zip | Holonomy & Chirality.zip,686047,670.0 KiB,433e9a4ff681ddf33839530a67551db58d08ad99ea012f76adf00fc2d72d74a6,Astraeus mathematics reservoir.,,included,
,P3_FORMAL_LANGUAGE,Bandwidth Algebra.zip,Bandwidth Algebra(1).zip,1163433,1.1 MiB,2672e910b989db5d03ff419c3024f50c35b9e1ed9eb47ab720811177514f3b53,Astraeus mathematics reservoir.,,included,
,P3_FORMAL_LANGUAGE,Identity Through History.zip,Identity Through History(2).zip,224934,219.7 KiB,45399cae67da80249d999e1aeb6fa1d6cb8c9dd32b0dcf6d8b715d032b6fc2b2,Astraeus mathematics reservoir.,,included,
,P3_FORMAL_LANGUAGE,TRANSDUCTION_GEOMETRY_v1.0.zip,TRANSDUCTION_GEOMETRY_v1.0(1).zip | Transduction Geometry v1.0.zip,3398136,3.2 MiB,7f6b965033e809c6a1683d8e7deaa320da37cb456688138b666608e10e16be77,Astraeus mathematics reservoir.,,included,
,P3_FORMAL_LANGUAGE,_PRIME.md,,23645,23.1 KiB,915be232f0901c4247b2063f5e58e4504bd5ae65a7899b04b3e9c8583de65186,Prime Dependency Foundations.,,included,
,P3_FORMAL_LANGUAGE,00_Primitives.md,,63469,62.0 KiB,b98a5b50df744e3c7ae7d633530e22d92ec3d0860d50374de0c4af3fc27218fe,Time-Space primitives.,,included,
,P3_FORMAL_LANGUAGE,01_ Definitions.md,,20789,20.3 KiB,ac8ce566990869a236af2dd8e09f737a3ede856f6f2f0eacccf4d13416573a4f,Time-Space definitions.,,included,
,P3_FORMAL_LANGUAGE,02_Axioms.md,,42164,41.2 KiB,3dca083bd3407e9cbf55638c4678ec06957e71f5369166f1a235f0336fe398ff,Time-Space axioms.,,included,
,P3_FORMAL_LANGUAGE,03_Lemmas.md,,44252,43.2 KiB,cb48898836f7e60f7fbd6d86450741ab11160c614d5538c47d7a3cb979190f8b,Time-Space lemmas.,,included,
,P3_FORMAL_LANGUAGE,04_Theorems.md,,17449,17.0 KiB,bbff3970e554aefa50d4d42233789bc83b3427e00b37bb5d0f77248f09dd4c99,Time-Space theorems.,,included,
,P3_FORMAL_LANGUAGE,05_Interface_Definitions.md,,11129,10.9 KiB,df6f083d070179f39017774c5bf878d04309c855cf946130600fb1e78a40e57e,Recursive continuity/interface definitions.,,included,
,P3_FORMAL_LANGUAGE,corridor.md,corridor(1).md | Chirality_Corridor.md,14163,13.8 KiB,2e2509cc615de96a972cb9b8cb474b6f4508b921475846887922831bfd95bdb6,Chirality Corridor working formalization.,,included,
,P6_OPTIONAL_CONTEXT,Archive(20260826-233517).zip,,1822444,1.7 MiB,af282cface5ba290d82663ae66b15e9a741ad6c7d3e4206af077421f9b3f162e,Trinity/mainframe/AI architecture materials discussed in thread.,,included,
,P6_OPTIONAL_CONTEXT,MASTER.pdf,,92298,90.1 KiB,1b2150b1889bdcedd7ba505e148f6697765c1ec05802c298c2e232f58b9fed18,Entertainment-facing Genesis Diamond canon; structural analogy source only.,,included,
,P6_OPTIONAL_CONTEXT,MASTER_2.pdf,,306762,299.6 KiB,beaf68d1fc739b9129b3bce853d8d0aa76824e1d75fd1053534f753372d87275,Rainbow Thread recursive reconstruction; mixed world-model/structural reservoir.,,included,
,P6_OPTIONAL_CONTEXT,Density Ladder.png,,92080,89.9 KiB,677d094abf140f2550ae466b2f1fcae3514ec609cef89bff0e020cb42d76eaca,MK147 fantasy currency ladder; explicitly excluded from physical Chirality Fabric derivations.,,included,
,P6_OPTIONAL_CONTEXT,MK43_CHIRALITY_TIMESHELL_THREAD_RECOVERY_v1_0_20260827.zip,,45905,44.8 KiB,fbeb645fbbdf87ecefb6a2412fbae9c73675f45fc17310da8ace0e3eb61bfc7f,Earlier Time-Shell/chirality continuity package.,,included,
,P0_BOOTSTRAP,GENESIS_CHIRALITY_FABRIC_FULL_THREAD_RECOVERY_R61_v1_0_20260829.zip,,222868,217.6 KiB,e78e38015e212e93f0a964b97e30e0fb3df1e186a86337ed528b3c16c54ab676,Compact R61 recovery/handoff package superseded by this full checkpoint for completeness.,,included,
,P6_OPTIONAL_CONTEXT,IMG_6521.jpeg,,132675,129.6 KiB,25cf68e5826d8ac4c864b9e46266af2e9e3e74efa2705d9b950375c43318800c,Screenshot documenting why imported 000-111 machine indexing was rejected.,,included,
,P6_OPTIONAL_CONTEXT,IMG_6523.jpeg,,247227,241.4 KiB,25b226865ff35402600d9ab315ae723c02580aa8fd49cf116bf2dfbd7b0a66f5,Screenshot of non-Abelian/chirality discussion.,,included,
,P6_OPTIONAL_CONTEXT,IMG_9D4DFE36-45B2-42BB-B99C-806B44756FD0.jpeg,,141043,137.7 KiB,096949eababc8bc3c878dcaa1ab942dc19914f9ee8e4f9bad3da05650d10a20e,Dawn gradient observation motivating future continuous color readout.,,included,
,P6_OPTIONAL_CONTEXT,genesis_field_contact.jpg,,203226,198.5 KiB,548cbbad1c7e2d07ba904a8b0bbcec4c2e2da1c155e67d23d91e701092387885,Genesis Field contact sheet generated while inspecting source package.,,included,
,P6_OPTIONAL_CONTEXT,Hacker..png,,191592,187.1 KiB,b94da7e0aeafc14647603c1606d0a69442e56d7d54479d3bc2cd8a3e7d1c549a,Hacker mathematics / repeated-squaring context image.,,included,
,P6_OPTIONAL_CONTEXT,ASTRAEUS_VERA_R60_NATIVE_UPDATE_MECHANISM_TANGENT.md,,8494,8.3 KiB,bead4ef87ef0d427eec760c11c23fb5fa41694de44791f3ac223a9611f3f3d75,R60 native update mechanism tangent.,,included,
,P3_FORMAL_LANGUAGE,Genesis.zip,Genesis(2).zip,403570,394.1 KiB,4b847d2048d485d6265c5c95ab7ea7ee3ec3966bb49aa02961e023dfb62f4e70,"Standalone Genesis Language archive: Domains, Root Family, Phonology, Grammar, Rules, Structure, Rosetta.","3 | .zip, if its nested Genesis.zip is extracted and mounted",required_or_satisfied_by_v9,Earlier user-side alias may be Genesis(2).zip. Exact verified canonical bytes are Genesis.zip.
